Degree Level,Nationality,Gender,Year Quarter,Salary,Currency
Master Degree,Saudi,Male,2019 Q1,17102,SAR
Master Degree,NonSaudi,Female,2019 Q2,14024,SAR
Master Degree,NonSaudi,Male,2019 Q2,15183,SAR
Master Degree,Saudi,Female,2019 Q2,11393,SAR
Master Degree,Saudi,Male,2019 Q2,16373,SAR
Master Degree,NonSaudi,Female,2019 Q3,10773,SAR
Master Degree,NonSaudi,Male,2019 Q3,15724,SAR
Master Degree,Saudi,Female,2019 Q3,12732,SAR
Master Degree,Saudi,Male,2019 Q3,17577,SAR
Master Degree,NonSaudi,Female,2019 Q4,11575,SAR
Master Degree,NonSaudi,Male,2019 Q4,15829,SAR
Master Degree,Saudi,Female,2019 Q4,12656,SAR
Master Degree,Saudi,Male,2019 Q4,18786,SAR
Master Degree,NonSaudi,Female,2020 Q1,15305,SAR
Master Degree,NonSaudi,Male,2020 Q1,13667,SAR
Master Degree,Saudi,Female,2020 Q1,12711,SAR
Master Degree,Saudi,Male,2020 Q1,17590,SAR
